id Level Flaws

These are a compilation of flaws in the original id Doom levels
that "appear" to be rendered properly in the original game. They
do not, however, get rendered in glDoom which renders in OpenGL
using full 3D coordinates for textured polygons.


WAD      Level  Sector  Linedef  SideDef  Reason
-------- -----  ------  -------  -------  --------------------------

D O O M 1

Doom     E1M2    28      134/2    151     No upper texture assigned.
Doom     E1M2   187      574/2    727     No upper texture assigned.

Doom     E1M4   105      321/1    345     No lower texture assigned.
Doom     E1M4   132      327/1    353     No lower texture assigned.
Doom     E1M4   137      338/1    369     No lower texture assigned.
Doom     E1M4     9      346/1    379     No lower texture assigned.
Doom     E1M4    82      693/2    872     No upper texture assigned.

Doom     E1M7    37      450/2    573     No upper texture assigned.
Doom     E1M7   141      744/2    938     No lower texture assigned.
Doom     E1M7   141      745/2    940     No lower texture assigned.
Doom     E1M7   141      746/2    942     No lower texture assigned.
Doom     E1M7   141      747/2    944     No lower texture assigned.

Doom     E2M2   113      947/2   1133     No upper texture assigned.
Doom     E2M2   184     1494/2   1898     No upper texture assigned.
Doom     E2M2    78     1596/1   2050     The line is backwards.

Doom     E2M4    38      551/2    667     No upper texture assigned.
Doom     E2M4   149      865/2   1090     No lower texture assigned.
Doom     E2M4    55     1062/1   1363     No upper texture assigned.
Doom     E2M4   108     1071/1   1379     No upper texture assigned.

Doom     E2M5    32      590/2    718     No upper texture assigned.
Doom     E2M5    31      590/1    717     No lower texture assigned.
Doom     E2M5   102     1027/2   1242     No upper texture assigned.

Doom     E2M6    59      145/2    172     No lower texture assigned.
Doom     E2M6   121     1091/2   1319     No upper texture assigned.

Doom     E2M7    80     1286/1   1579     No lower texture assigned.

Doom     E3M2    37      433/2    533     No lower texture assigned.
Doom     E3M2    37      434/2    535     No lower texture assigned.
Doom     E3M2    37      435/2    537     No lower texture assigned.
Doom     E3M2    37      436/2    539     No lower texture assigned.

Doom     E3M3    62      994/2   1219     No upper texture assigned.

Doom     E3M5   161     1329/2   1729     No lower texture assigned.
Doom     E3M5   161     1330/2   1731     No lower texture assigned.

Doom     E3M7   105      901/2   1131     No lower texture assigned.
Doom     E3M7   117      971/2   1234     No upper texture assigned.

Doom     E3M9    67      102/2    138     No lower texture assigned.

Doom     E4M1    30      252/2    356     No upper texture assigned.
Doom     E4M1    30      253/2    358     No upper texture assigned.
Doom     E4M1    30      254/2    360     No upper texture assigned.
Doom     E4M1    30      255/2    362     No upper texture assigned.
Doom     E4M1    30      256/2    364     No lower texture assigned.
Doom     E4M1    30      257/2    366     No lower texture assigned.
Doom     E4M1    30      258/2    368     No lower texture assigned.
Doom     E4M1    30      259/2    370     No lower texture assigned.
Doom     E4M1    30      260/2    372     No lower texture assigned.
Doom     E4M1    30      261/2    374     No lower texture assigned.
Doom     E4M1    30      262/2    376     No lower texture assigned.
Doom     E4M1    30      263/2    378     No lower texture assigned.
Doom     E4M1    30      264/2    380     No lower texture assigned.
Doom     E4M1    30      265/2    382     No lower texture assigned.
Doom     E4M1    30      266/2    384     No lower texture assigned.
Doom     E4M1    30      267/2    386     No lower texture assigned.
Doom     E4M1    30      268/2    388     No lower texture assigned.
Doom     E4M1    30      269/2    390     No lower texture assigned.
